title,description
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On condition,Actions to perform when specified condition is true.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Continue Conversation,Actions to perform when a conversation is started up again from a ContinueConversationLater action.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On ConversationUpdate activity,"Actions to perform on receipt of an activity with type 'ConversationUpdate'."
Tooling property,Open ended property for tooling.
Dialog event name,Name of dialog event.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On dialog event,Actions to perform when a specific dialog event occurs.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On end of actions,Actions to take when there are no more actions in the current dialog.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On EndOfConversation activity,"Actions to perform on receipt of an activity with type 'EndOfConversation'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Error,"Action to perform when an 'Error' dialog event occurs."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Event activity,"Actions to perform on receipt of an activity with type 'Event'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Handoff activity,"Actions to perform on receipt of an activity with type 'HandOff'."
Tooling property,Open ended property for tooling.
Intent,Name of intent.
Entity,Entity that must be present.
Entities,Required entities.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On intent recognition,Actions to perform when specified intent is recognized.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Invoke activity,"Actions to perform on receipt of an activity with type 'Invoke'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Message activity,"Actions to perform on receipt of an activity with type 'Message'. Overrides Intent trigger."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On MessageDelete activity,"Actions to perform on receipt of an activity with type 'MessageDelete'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On MessageReaction activity,"Actions to perform on receipt of an activity with type 'MessageReaction'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On MessageUpdate activity,"Actions to perform on receipt of an activity with type 'MessageUpdate'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On QnAMaker Match,Actions to perform on when an match from QnAMaker is found.
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On RepromptDialog,"Actions to perform when 'RepromptDialog' event occurs."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On Typing activity,"Actions to perform on receipt of an activity with type 'Typing'."
Tooling property,Open ended property for tooling.
Condition,Condition (expression).
Actions,Sequence of actions to execute.
Priority,Priority for trigger with 0 being the highest and < 0 ignored.
Run Once,True if rule should run once per unique conditions
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
On unknown intent,"Action to perform when user input is unrecognized or if none of the 'on intent recognition' triggers match recognized intent."
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Ordinal Entity Recognizer,"Recognizer which recognizes ordinals (example: first, second, 3rd)."
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Percentage Entity Recognizer,Recognizer which recognizes percentages.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Phone Number Entity Recognizer,Recognizer which recognizes phone numbers.
Tooling property,Open ended property for tooling.
KnowledgeBase Id,KnowledgeBase Id of your QnA Maker KnowledgeBase.
Endpoint Key,Endpoint key for the QnA Maker KB.
Hostname,Hostname for your QnA Maker service.
Fallback answer,Default answer to return when none found in KB.
Threshold,Threshold score to filter results.
Active learning card title,Title for active learning suggestions card.
Card no match text,Text for no match option.
Card no match response,Custom response when no match option was selected.
Name,Name of filter property.
Value,Value to filter on.
Metadata filter,Metadata filter.
Strict Filters,Metadata filters to use when calling the QnA Maker KB.
Top,The number of answers you want to retrieve.
IsTest,"True, if pointing to Test environment, else false."
Standard ranker,Standard ranker types.
Ranker Type,Type of Ranker.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
QnAMaker Dialog,Dialog which uses QnAMAker knowledge base to answer questions.
Tooling property,Open ended property for tooling.
Id,Optional unique id using with RecognizerSet.
KnowledgeBase Id,KnowledgeBase Id of your QnA Maker KnowledgeBase.
Endpoint Key,Endpoint key for the QnA Maker KB.
Hostname,Hostname for your QnA Maker service.
Threshold,Threshold score to filter results.
Name,Name to filter on.
Value,Value to restrict filter.
Metadata filters,Metadata filters to use when querying QnA Maker KB.
Strict Filters,Metadata filters to use when calling the QnA Maker KB.
Top,The number of answers you want to retrieve.
IsTest,"True, if pointing to Test environment, else false."
Ranker type,Type of Ranker.
Ranker Type,Type of Ranker.
Include Dialog Name,"When set to false, the dialog name will not be passed to QnAMaker. (default) is true"
Name,Name of value to test.
Value,Value to filter against.
Metadata filter,Metadata filter to use when calling the QnA Maker KB.
Metadata filters,Metadata filters to use when calling the QnA Maker KB.
QnARequestContext,Context to use for ranking.
QnAId,A number or expression which is the QnAId to paass to QnAMaker API.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
QnAMaker Recognizer,Recognizer for generating QnAMatch intents from a KB.
Tooling property,Open ended property for tooling.
Random seed,Random seed to start random number generation.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Random rule selector,Select most specific true rule.
Tooling property,Open ended property for tooling.
Id,"Optional unique id using with RecognizerSet.  Other recognizers should return 'DeferToRecognizer_{Id}' intent when cross training data for this recognizer."
Recognizers,List of Recognizers defined for this set.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Recognizer Set,Creates the union of the intents and entities of the recognizers in the set.
Tooling property,Open ended property for tooling.
Name,Name of the entity
Pattern,Pattern expressed as regular expression.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Regex Entity Recognizer,Recognizer which recognizes patterns of input based on regex.
Tooling property,Open ended property for tooling.
Id,"Optional unique id using with RecognizerSet.  Other recognizers should return 'DeferToRecognizer_{Id}' intent when cross training data for this recognizer."
Intent,The intent name.
Pattern,The regular expression pattern.
Pattern,Intent and regex pattern.
RegEx patterns to intents,Collection of patterns to match for an intent.
Entity recognizers,Collection of entity recognizers to use.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Regex recognizer,Use regular expressions to recognize intents and entities from user input.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
AllowLoop,Optional condition which if true will allow loop of the repeated dialog.
Disabled,Optional condition which if true will disable this action.
Options,Options for repeating dialog.
Options,One or more options that are passed to the dialog that is called.
Activity Processed,"When set to false, the dialog that is called can process the current activity."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Repeat dialog,Repeat current dialog.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Dialog,
Dialog name,Name of the dialog to call.
Options,Options for replacing dialog.
Options,One or more options that are passed to the dialog that is called.
Activity Processed,"When set to false, the dialog that is called can process the current activity."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Replace dialog,Replace current dialog with another dialog.
Tooling property,Open ended property for tooling.
Id,Optional generator ID.
Resource Id,Resource which is the root language generator.  Other generaters with the same name and language suffix will be loaded into this generator and used based on the Language Policy.
Language Policy,"Set alternate language policy for this generator.  If not set, the global language policy will be used."
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Resource Multi-Language Generator,MultiLanguage Generator which is bound to resource by resource Id.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Activity,Activity to send.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Send an activity,Respond with an activity.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Property,Property (named location to store information).
Value,New value or expression.
Assignment,Property assignment.
Assignments,Property value assignments to set.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Set property,Set one or more property values.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Property,Property (named location to store information).
Value,New value or expression.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Set property,Set property to a value.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
UserId,Expression to an user to signout. Default is user.id.
Connection Name,Connection name that was used with OAuthInput to log a user in.
Disabled,Optional condition which if true will disable this action.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Sign Out User,Sign a user out that was logged in previously using OAuthInput.
Tooling property,Open ended property for tooling.
Activity,A static Activity to used.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Microsoft Static Activity Template,This allows you to define a static Activity object
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Condition,Property to evaluate.
Disabled,Optional condition which if true will disable this action.
Value,The value to compare the condition with.
Actions,Actions to execute.
Case,Case and actions.
Cases,Actions for each possible condition.
Default,Actions to execute if none of the cases meet the condition.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Switch condition,Execute different actions based on the value of a property.
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Event Name,The name of the event to track.
Properties,One or more properties to attach to the event being tracked.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Telemetry - Track Event,Track a custom event using the registered Telemetry Client.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Temperature Recognizer,Recognizer which recognizes temperatures.
Tooling property,Open ended property for tooling.
Id,Optional generator ID.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Template Multi-Language Generator,Template Generator which allows only inline evaluation of templates.
Tooling property,Open ended property for tooling.
Default value,"'Property' will be set to the value of this expression when max turn count is exceeded."
Value,"'Property' will be set to the value of this expression unless it evaluates to null."
Output format,Expression to format the output.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Initial prompt,Message to send to collect information.
Unrecognized prompt,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Invalid prompt,Message to send when the user input does not meet any validation expression.
Default value response,Message to send when max turn count (if specified) has been exceeded and the default value is selected as the value.
Max turn count,Maximum number of re-prompt attempts to collect information.
Condition,Expression which needs to met for the input to be considered valid
Validation expressions,Expression to validate user input.
Property,"Property to store collected information. Input will be skipped if property has value (unless 'Always prompt' is true)."
Always prompt,"Collect information even if the specified 'property' is not empty."
Allow Interruptions,A boolean expression that determines whether the parent should be allowed to interrupt the input.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Text input dialog,Collection information - Ask for a word or sentence.
Tooling property,Open ended property for tooling.
Template,Language Generator template to evaluate to create the text.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Microsoft TextTemplate,Use LG Templates to create text
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Name,Name of the trace activity
Label,Label for the trace activity (used to identify it in a list of trace activities.)
Value type,Type of value
Value,Property that holds the value to send as trace activity.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Send a TraceActivity,Send a trace activity to the transcript logger and/ or Bot Framework Emulator.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
True Trigger Selector,Selector for all true events
Tooling property,Open ended property for tooling.
Id,Optional id for the dialog
Disabled,Optional condition which if true will disable this action.
Activity Id,An string expression with the activity id to update.
Activity,Activity to send.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Send an activity,Respond with an activity.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Confirmation Url Recognizer,Recognizer which recognizes urls.
Array,Array constant.
Array or expression,Array or expression to evaluate.
Boolean,Boolean constant.
Boolean or expression,Boolean constant or expression to evaluate.
Tooling property,Open ended property for tooling.
Kind of dialog object,Defines the valid properties for the component you are configuring (from a dialog .schema file)
Designer information,Extra information for the Bot Framework Composer.
Boolean,Boolean value.
Boolean condition,Boolean constant or expression to evaluate.
Expression,Expression starting with =.
Expression,Expression to evaluate.
Integer,Integer constant.
Integer or expression,Integer constant or expression to evaluate.
Number,Number constant.
Number or expression,Number constant or expression to evaluate.
Object,Object constant.
Object or expression,Object or expression to evaluate.
$role,"Defines the role played in the dialog schema from [expression|interface|implements($kind)|extends($kind)]."
String,Interpolated string
String or expression,Interpolated string or expression to evaluate.
Object,Object constant.
Array,Array constant.
String,Interpolated string.
Boolean,Boolean constant
Number,Number constant.
Any or expression,Any constant or expression to evaluate.
[object Object],[object Object]
Core schema meta-schema,
id,"Channel id for the user or bot on this channel (Example: joe@smith.com, or @joesmith or
123456)"
name,Display friendly name
aadObjectId,"This account's object ID within Azure Active Directory (AAD)"
role,"Role of the entity behind the account (Example: User, Bot, etc.). Possible values include:
'user', 'bot'"
ChannelAccount,Channel account information needed to route a message
isGroup,"Indicates whether the conversation contains more than two participants at the time the
activity was generated"
conversationType,Indicates the type of the conversation in channels that distinguish between conversation types
id,"Channel id for the user or bot on this channel (Example: joe@smith.com, or @joesmith or
123456)"
name,Display friendly name
aadObjectId,"This account's object ID within Azure Active Directory (AAD)"
role,"Role of the entity behind the account (Example: User, Bot, etc.). Possible values include:
'user', 'bot'"
ConversationAccount,Channel account information for a conversation
type,"Message reaction type. Possible values include: 'like', 'plusOne'"
MessageReaction,Message reaction object
type,"The type of action implemented by this button. Possible values include: 'openUrl', 'imBack',
'postBack', 'playAudio', 'playVideo', 'showImage', 'downloadFile', 'signin', 'call',
'payment', 'messageBack'"
title,Text description which appears on the button
image,"Image URL which will appear on the button, next to text label"
text,Text for this action
displayText,(Optional) text to display in the chat feed if the button is clicked
value,Supplementary parameter for action. Content of this property depends on the ActionType
channelData,Channel-specific data associated with this action
[object Object],
CardAction,A clickable action
Id,Id of recipient.
to,"Ids of the recipients that the actions should be shown to.  These Ids are relative to the
channelId and a subset of all recipients of the activity"
actions,Actions that can be shown to the user
SuggestedActions,SuggestedActions that can be performed
contentType,mimetype/Contenttype for the file
contentUrl,Content Url
content,Embedded content
name,(OPTIONAL) The name of the attachment
thumbnailUrl,(OPTIONAL) Thumbnail associated with attachment
Attachment,An attachment within an activity
type,Type of this entity (RFC 3987 IRI)
Entity,Metadata object pertaining to an activity
activityId,(Optional) ID of the activity to refer to
user,(Optional) User participating in this conversation
bot,Bot participating in this conversation
conversation,Conversation reference
channelId,Channel ID
serviceUrl,Service endpoint where operations concerning the referenced conversation may be performed
ConversationReference,An object relating to a particular point in a conversation
text,Defines the snippet of text to highlight
occurrence,"Occurrence of the text field within the referenced text, if multiple exist."
TextHighlight,Refers to a substring of content within another field
id,ID of this action
entities,Entities associated with this action
SemanticAction,Represents a reference to a programmatic action
type,"Contains the activity type. Possible values include: 'message', 'contactRelationUpdate',
'conversationUpdate', 'typing', 'endOfConversation', 'event', 'invoke', 'deleteUserData',
'messageUpdate', 'messageDelete', 'installationUpdate', 'messageReaction', 'suggestion',
'trace', 'handoff'"
id,Contains an ID that uniquely identifies the activity on the channel.
timestamp,"Contains the date and time that the message was sent, in UTC, expressed in ISO-8601 format."
localTimestamp,"Contains the date and time that the message was sent, in local time, expressed in ISO-8601
format.
For example, 2016-09-23T13:07:49.4714686-07:00."
localTimezone,"Contains the name of the timezone in which the message, in local time, expressed in IANA Time
Zone database format.
For example, America/Los_Angeles."
serviceUrl,"Contains the URL that specifies the channel's service endpoint. Set by the channel."
channelId,Contains an ID that uniquely identifies the channel. Set by the channel.
from,Identifies the sender of the message.
conversation,Identifies the conversation to which the activity belongs.
recipient,Identifies the recipient of the message.
textFormat,"Format of text fields Default:markdown. Possible values include: 'markdown', 'plain', 'xml'"
attachmentLayout,"The layout hint for multiple attachments. Default: list. Possible values include: 'list',
'carousel'"
membersAdded,The collection of members added to the conversation.
membersRemoved,The collection of members removed from the conversation.
reactionsAdded,The collection of reactions added to the conversation.
reactionsRemoved,The collection of reactions removed from the conversation.
topicName,The updated topic name of the conversation.
historyDisclosed,Indicates whether the prior history of the channel is disclosed.
locale,"A locale name for the contents of the text field.
The locale name is a combination of an ISO 639 two- or three-letter culture code associated
with a language
and an ISO 3166 two-letter subculture code associated with a country or region.
The locale name can also correspond to a valid BCP-47 language tag."
text,The text content of the message.
speak,The text to speak.
inputHint,"Indicates whether your bot is accepting,
expecting, or ignoring user input after the message is delivered to the client. Possible
values include: 'acceptingInput', 'ignoringInput', 'expectingInput'"
summary,The text to display if the channel cannot render cards.
suggestedActions,The suggested actions for the activity.
attachments,Attachments
entities,Represents the entities that were mentioned in the message.
channelData,Contains channel-specific content.
action,"Indicates whether the recipient of a contactRelationUpdate was added or removed from the
sender's contact list."
replyToId,Contains the ID of the message to which this message is a reply.
label,A descriptive label for the activity.
valueType,"The type of the activity's value object."
value,A value that is associated with the activity.
name,The name of the operation associated with an invoke or event activity.
relatesTo,A reference to another conversation or activity.
code,"The a code for endOfConversation activities that indicates why the conversation ended.
Possible values include: 'unknown', 'completedSuccessfully', 'userCancelled', 'botTimedOut',
'botIssuedInvalidMessage', 'channelFailed'"
expiration,"The time at which the activity should be considered to be ""expired"" and should not be
presented to the recipient."
importance,"The importance of the activity. Possible values include: 'low', 'normal', 'high'"
deliveryMode,"A delivery hint to signal to the recipient alternate delivery paths for the activity.
The default delivery mode is ""default"". Possible values include: 'normal', 'notification'"
Phrase,Phrase to listen for.
listenFor,List of phrases and references that speech and language priming systems should listen for
textHighlights,The collection of text fragments to highlight when the activity contains a ReplyToId value.
semanticAction,An optional programmatic action accompanying this request
Activity,An Activity is the basic communication type for the Bot Framework 3.0 protocol.
Component kinds,These are all of the kinds that can be created by the loader.
